epoch,box,cls,Recall,Precision,mAP@50,mAP
001,3.966,1050.403,0.000,0.000,0.000,0.000
002,3.998,4.656,0.000,0.000,0.000,0.000
003,3.880,4.585,0.000,0.000,0.000,0.000
004,3.793,4.586,0.000,0.000,0.000,0.000
005,3.726,4.629,0.000,0.000,0.000,0.000
006,3.659,4.649,0.000,0.000,0.000,0.000
007,3.609,4.665,0.000,0.000,0.000,0.000
008,3.574,4.665,0.003,0.003,0.000,0.000
009,3.561,4.661,0.000,0.000,0.000,0.000
010,3.548,4.659,0.000,0.000,0.000,0.000
011,3.539,4.661,0.000,0.000,0.000,0.000
012,3.533,4.663,0.000,0.000,0.000,0.000
013,3.527,4.660,0.000,0.000,0.000,0.000
014,3.515,4.659,0.001,0.001,0.000,0.000
015,3.520,4.659,0.001,0.001,0.000,0.000
016,3.514,4.658,0.001,0.001,0.000,0.000
017,3.515,4.660,0.001,0.001,0.000,0.000
018,3.511,4.659,0.001,0.001,0.000,0.000
019,3.508,4.658,0.001,0.001,0.000,0.000
020,3.506,4.657,0.001,0.001,0.000,0.000
